filename,trial1,trial2,trial3,trial4
333.sql,1.672,1.670,1.682,1.667
334.sql,2.815,2.625,4.377,2.667
336.sql,0.137,0.137,0.138,0.138
337.sql,0.347,0.354,0.345,0.349
338.sql,0.141,0.146,0.144,0.151
339.sql,0.198,0.202,0.197,0.197
340.sql,1.578,1.574,1.576,1.575
341.sql,0.265,0.272,0.265,0.270
342.sql,7.631,5.322,5.526,5.360
343.sql,0.625,0.625,0.621,0.620
344.sql,0.153,0.152,0.152,0.159
345.sql,2.030,2.023,2.019,2.014
346.sql,1.470,1.469,1.481,1.474
348.sql,0.337,0.335,0.335,0.337
350.sql,0.755,0.727,0.731,0.734
351.sql,0.151,0.152,0.151,0.151
352.sql,0.149,0.155,0.254,0.152
353.sql,0.688,0.689,0.691,0.686
354.sql,0.228,0.226,0.225,0.226
355.sql,0.596,0.600,0.596,0.599
357.sql,0.150,0.132,0.151,0.188
358.sql,0.504,0.476,0.487,0.489
359.sql,0.222,0.194,0.214,0.219
360.sql,1.073,1.221,0.966,0.916
361.sql,0.141,0.128,0.169,0.158
362.sql,0.193,0.173,0.184,0.140
363.sql,0.112,0.127,0.113,0.118
364.sql,0.144,0.140,0.144,0.146
365.sql,0.665,0.553,0.533,0.568
366.sql,0.505,0.550,0.620,0.551
367.sql,4.300,4.608,4.212,5.665
368.sql,0.069,0.068,0.067,0.155
369.sql,7.630,6.794,6.570,6.479
370.sql,1.339,1.304,1.433,1.412
371.sql,5.663,5.546,5.889,5.882
372.sql,0.165,0.185,0.171,0.198
373.sql,0.141,0.142,0.177,0.129
374.sql,10.863,9.366,10.352,9.451
375.sql,0.116,0.115,0.119,0.125
376.sql,3.670,3.743,3.465,3.394
377.sql,3.691,3.541,3.374,3.585
378.sql,0.100,0.065,0.073,0.106
379.sql,0.977,0.123,0.103,0.103
380.sql,0.135,0.140,0.142,0.167
381.sql,0.107,0.133,0.096,0.108
383.sql,0.084,0.086,0.083,0.072
384.sql,0.978,0.523,0.506,0.515
385.sql,3.540,4.156,3.372,3.301
386.sql,1.399,1.414,1.408,1.410
387.sql,38.877,54.969,36.778,41.591
388.sql,0.213,0.156,0.153,0.155
389.sql,0.761,0.641,0.634,0.654
390.sql,1.557,1.555,1.534,1.605
391.sql,5.065,5.103,5.050,5.470
392.sql,0.253,0.175,0.168,0.170
394.sql,2.574,2.472,2.643,2.654
395.sql,0.115,0.127,0.136,0.109
396.sql,0.077,0.073,0.076,0.068
397.sql,0.141,0.139,0.154,0.131
398.sql,2.283,2.255,2.599,2.249
399.sql,0.102,0.100,0.107,0.104
400.sql,1.298,1.426,1.493,1.265
401.sql,1.318,1.565,1.418,1.388
402.sql,0.165,0.149,0.148,0.127
403.sql,0.097,0.099,0.101,0.099
404.sql,0.117,0.097,0.099,0.094
405.sql,1.446,1.444,1.445,1.441
406.sql,117.034,119.356,117.680,116.898
407.sql,0.080,0.067,0.078,0.076
408.sql,0.456,0.490,0.460,0.459
409.sql,11.123,10.696,13.023,10.714
410.sql,1.095,1.094,1.093,1.093
411.sql,2.845,2.844,2.844,2.840
412.sql,0.140,0.118,0.109,0.107
413.sql,0.103,0.108,0.108,0.108
414.sql,0.450,0.440,0.442,0.463
415.sql,2.507,2.496,2.552,2.487
416.sql,158.991,153.458,172.732,189.501
417.sql,0.697,0.803,0.790,0.756
418.sql,56.501,57.809,57.016,63.949
419.sql,0.736,0.808,0.675,0.670
420.sql,18.530,18.038,19.094,18.059
421.sql,0.868,0.853,0.818,0.839
422.sql,0.719,0.518,0.577,0.559
423.sql,48.409,44.963,45.052,45.983
424.sql,0.129,0.132,0.150,0.133
425.sql,0.129,0.128,0.129,0.126
426.sql,0.077,0.077,0.078,0.078
427.sql,0.133,0.129,0.126,0.129
428.sql,0.163,0.164,0.162,0.164
430.sql,0.110,0.104,0.096,0.103
431.sql,0.173,0.148,0.147,0.129
433.sql,0.289,0.227,0.308,0.331
434.sql,0.147,0.136,0.149,0.145
435.sql,0.556,0.532,0.580,0.521
436.sql,0.111,0.121,0.135,0.150
437.sql,0.345,0.343,0.290,0.281
438.sql,0.435,0.534,0.461,0.433
439.sql,2.911,2.802,2.778,2.756
441.sql,0.144,0.128,0.149,0.146
442.sql,0.352,0.352,0.386,0.390
443.sql,0.319,0.359,0.352,0.312
444.sql,1.133,0.920,1.119,1.011
445.sql,0.063,0.060,0.065,0.061
446.sql,0.703,0.469,0.411,0.582
447.sql,2.205,2.001,2.218,2.153
448.sql,0.765,0.824,0.870,0.962
449.sql,0.133,0.136,0.177,0.139
450.sql,0.298,0.238,0.266,0.290
451.sql,0.094,0.093,0.092,0.095
452.sql,0.830,0.784,0.761,0.720
453.sql,4.589,4.459,5.163,5.327
455.sql,0.733,0.556,0.605,0.573
456.sql,0.244,0.263,0.213,0.243
457.sql,0.687,0.704,0.717,0.775
459.sql,1.724,1.607,1.442,1.494
460.sql,8.335,10.913,7.879,8.212
461.sql,2.271,2.403,2.362,2.401
462.sql,5.545,4.654,5.538,5.367
464.sql,0.331,0.418,0.501,0.366
465.sql,1.057,1.167,1.248,1.190
466.sql,0.371,0.384,0.373,0.366
468.sql,3.560,3.766,3.718,3.753
469.sql,0.117,0.113,0.113,0.113
470.sql,1.858,1.994,2.203,1.906
471.sql,0.076,0.074,0.071,0.072
472.sql,1.545,1.654,1.759,1.578
473.sql,0.108,0.095,0.069,0.073
474.sql,1.515,1.503,1.418,1.288
475.sql,0.136,0.166,0.144,0.151
476.sql,1.788,1.723,1.557,1.615
477.sql,2.593,3.139,2.231,2.992
479.sql,0.350,0.311,0.286,0.220
480.sql,0.158,0.124,0.124,0.127
481.sql,0.104,0.114,0.144,0.112
482.sql,3.109,3.401,3.013,3.000
483.sql,0.279,0.281,0.330,0.251
484.sql,0.195,0.229,0.155,0.188
485.sql,2.307,2.329,2.304,2.310
486.sql,0.416,0.399,0.398,0.493
487.sql,2.712,3.566,2.319,2.549
488.sql,4.325,4.641,4.468,4.659
489.sql,1.827,1.989,1.920,1.847
490.sql,0.282,0.221,0.280,0.229
491.sql,0.167,0.109,0.123,0.175
492.sql,3.425,2.899,2.808,2.833
493.sql,0.258,0.280,0.272,0.275
494.sql,0.585,0.618,0.663,0.756
495.sql,263.792,282.753,270.260,299.892
497.sql,1.225,1.223,1.211,1.218
498.sql,0.075,0.068,0.070,0.071
499.sql,2.126,2.133,2.138,2.135
500.sql,0.905,0.906,1.080,1.023
502.sql,0.431,0.424,0.422,0.614
503.sql,0.140,0.130,0.128,0.132
504.sql,2.579,2.733,2.522,2.485
505.sql,0.132,0.131,0.126,0.129
506.sql,0.117,0.119,0.119,0.117
507.sql,0.526,0.502,0.498,0.501
508.sql,1.134,1.065,1.069,1.069
509.sql,0.572,0.570,0.573,0.569
510.sql,2.758,2.751,5.458,2.781
511.sql,0.728,0.731,0.730,0.730
512.sql,1.456,1.453,1.453,1.460
514.sql,0.846,0.957,0.763,0.710
515.sql,2.583,2.598,2.624,2.638
516.sql,0.214,0.213,0.224,0.257
517.sql,0.913,0.911,0.869,0.962
518.sql,21.427,18.902,18.810,18.810
519.sql,0.368,0.364,0.358,0.363
520.sql,3.607,3.716,3.600,3.617
521.sql,1.381,1.382,1.382,2.254
522.sql,0.507,0.302,0.497,0.290
523.sql,2.513,2.510,2.524,2.517
524.sql,0.416,0.420,0.419,0.419
525.sql,0.152,0.142,0.143,0.136
526.sql,0.128,0.122,0.117,0.127
527.sql,8.161,8.190,8.175,10.660
528.sql,1.069,1.038,1.011,1.014
529.sql,0.112,0.092,0.112,0.096
530.sql,0.414,0.413,0.413,0.447
531.sql,0.868,0.861,0.868,0.875
532.sql,1.759,1.756,1.745,1.711
533.sql,0.101,0.092,0.095,0.095
534.sql,1.446,2.189,1.458,1.448
535.sql,7.020,6.973,6.973,7.119
536.sql,0.457,0.331,0.325,0.322
537.sql,0.362,0.367,0.361,0.365
538.sql,3.184,3.177,3.315,3.340
539.sql,0.566,0.540,0.550,0.519
540.sql,0.058,0.070,0.059,0.059
541.sql,0.701,0.710,0.697,0.714
543.sql,0.161,0.145,0.143,0.144
544.sql,0.476,0.494,0.442,0.535
546.sql,63.957,90.696,17.431,78.509
547.sql,1.958,0.972,1.096,0.953
548.sql,54.460,6.238,6.033,5.220
549.sql,0.909,1.044,1.042,1.057
550.sql,0.109,0.115,0.129,0.079
551.sql,0.276,0.233,0.285,0.256
552.sql,0.144,0.152,0.131,0.114
553.sql,1.349,1.027,1.439,0.935
554.sql,5.888,5.471,9.037,10.873
555.sql,0.116,0.117,0.131,0.136
556.sql,0.121,0.122,0.093,0.091
557.sql,2.099,2.367,2.236,2.416
558.sql,4.658,4.162,3.880,4.318
559.sql,0.152,0.165,0.292,0.180
560.sql,6.764,7.204,7.058,6.932
561.sql,1.546,1.584,1.601,1.591
562.sql,0.140,0.131,0.127,0.153
563.sql,1.543,1.606,1.599,1.837
564.sql,0.148,0.157,0.222,0.249
565.sql,0.077,0.051,0.056,0.051
566.sql,1.332,1.347,1.337,1.324
567.sql,0.109,0.093,0.086,0.082
568.sql,3.579,3.676,3.948,3.312
569.sql,0.189,0.187,0.199,0.196
570.sql,0.142,0.139,0.138,0.137
571.sql,0.290,0.317,0.371,0.338
572.sql,0.516,0.447,0.449,0.458
573.sql,0.196,0.162,0.122,0.144
574.sql,0.621,0.677,0.773,0.722
576.sql,9.118,9.110,8.241,8.693
577.sql,2.767,2.961,3.000,2.863
578.sql,0.539,0.632,0.490,0.507
579.sql,0.559,0.536,0.657,0.530
580.sql,5.067,5.481,4.878,5.401
581.sql,0.265,0.233,0.272,0.238
582.sql,2.746,2.621,2.446,2.563
583.sql,0.238,0.280,0.264,0.236
584.sql,0.108,0.105,0.108,0.111
585.sql,0.549,0.472,0.516,0.505
586.sql,0.112,0.151,0.117,0.118
587.sql,1.220,1.473,1.383,1.220
588.sql,21.740,16.633,23.143,19.864
589.sql,28.231,26.012,23.915,25.363
590.sql,0.672,0.832,0.788,0.634
591.sql,0.505,0.379,0.348,0.355
592.sql,1.813,1.621,1.671,2.036
593.sql,0.074,0.071,0.070,0.072
594.sql,0.397,0.363,0.331,0.373
595.sql,0.140,0.125,0.112,0.109
596.sql,0.312,0.287,0.286,0.331
597.sql,0.091,0.105,0.096,0.100
600.sql,0.261,0.223,0.305,0.237
601.sql,0.147,0.186,0.171,0.155
602.sql,1.098,0.425,0.404,0.421
603.sql,0.160,0.163,0.141,0.131
604.sql,3.955,3.945,4.264,4.153
605.sql,0.334,0.530,0.435,0.388
606.sql,0.166,0.132,0.130,0.212
607.sql,0.181,0.183,0.128,0.141
608.sql,0.099,0.108,0.143,0.159
609.sql,5.661,5.728,5.559,5.728
610.sql,0.082,0.082,0.105,0.082
611.sql,12.289,11.758,13.430,12.240
612.sql,0.290,0.324,0.418,0.257
613.sql,1.538,1.400,1.343,1.380
614.sql,1.550,1.517,1.514,1.802
615.sql,0.735,0.645,0.649,0.585
616.sql,0.528,0.514,0.568,0.562
617.sql,0.066,0.096,0.067,0.092
618.sql,2.116,2.044,1.858,2.112
619.sql,0.636,0.622,0.466,0.428
620.sql,0.959,1.075,1.041,1.105
621.sql,36.766,38.609,37.558,35.328
622.sql,0.096,0.093,0.098,0.141
623.sql,0.440,0.516,0.436,0.396
624.sql,0.215,0.195,0.175,0.178
625.sql,0.230,0.228,0.332,0.245
626.sql,0.943,0.846,0.914,0.982
628.sql,1.972,0.387,0.397,0.326
629.sql,0.540,0.526,0.619,0.613
632.sql,2.779,2.307,2.324,3.482
633.sql,1.234,1.174,1.169,1.087
634.sql,1.716,1.883,2.030,2.012
635.sql,0.294,0.283,0.301,0.325
636.sql,7.664,8.287,7.890,8.467
637.sql,0.181,0.179,0.159,0.161
638.sql,2.695,2.559,2.757,3.396
639.sql,0.252,0.280,0.299,0.346
640.sql,0.724,0.697,0.998,0.737
641.sql,0.496,0.492,0.523,0.607
643.sql,0.192,0.183,0.203,0.169
645.sql,0.582,0.552,0.626,0.607
646.sql,1.068,1.368,1.018,1.106
647.sql,0.268,0.214,0.202,0.231
648.sql,0.690,0.643,0.641,0.858
649.sql,0.196,0.210,0.204,0.208
650.sql,0.109,0.106,0.105,0.103
651.sql,7.318,7.668,8.136,8.216
652.sql,0.145,0.156,0.145,0.150
653.sql,0.166,0.171,0.142,0.164
654.sql,0.222,0.277,0.286,0.267
655.sql,1.979,1.941,1.873,2.050
657.sql,2.025,2.136,2.130,2.228
658.sql,1.171,0.955,1.085,0.886
659.sql,0.144,0.167,0.188,0.177
660.sql,0.610,0.466,0.556,0.461
661.sql,2.937,2.878,3.518,3.081
663.sql,2.149,2.413,2.401,2.317
664.sql,0.194,0.195,0.203,0.164
665.sql,0.866,0.868,0.941,0.842
666.sql,0.141,0.135,0.127,0.134
667.sql,0.915,1.211,0.797,1.028
668.sql,0.580,0.565,0.478,0.546
669.sql,0.432,0.612,0.562,0.695
670.sql,2.490,2.707,2.869,2.960
671.sql,0.201,0.186,0.209,0.212
672.sql,0.894,1.036,1.008,0.896
673.sql,0.692,0.614,0.565,0.562
674.sql,0.131,0.144,0.156,0.167
675.sql,1.479,1.434,1.209,1.015
676.sql,47.998,45.379,45.998,48.021
678.sql,0.161,0.145,0.147,0.159
679.sql,0.081,0.090,0.081,0.078
680.sql,0.712,0.742,0.661,0.602
681.sql,14.433,13.816,15.021,14.830
683.sql,0.517,0.433,0.381,0.410
684.sql,0.117,0.144,0.119,0.155
686.sql,0.804,0.895,0.865,0.885
688.sql,3.300,2.947,3.240,3.294
689.sql,0.117,0.116,0.113,0.115
690.sql,52.382,51.094,50.125,51.180
691.sql,0.259,0.258,0.224,0.262
692.sql,0.610,0.530,0.554,0.502
694.sql,0.639,0.783,0.732,0.670
695.sql,1.496,1.506,1.378,1.590
697.sql,0.193,0.175,0.171,0.165
698.sql,0.525,0.477,0.586,0.493
699.sql,1.747,1.797,1.807,2.012
700.sql,1.207,1.088,1.119,1.066
701.sql,0.592,0.705,0.911,0.900
702.sql,0.994,0.993,0.937,0.928
703.sql,0.109,0.108,0.103,0.102
704.sql,0.074,0.083,0.073,0.074
705.sql,0.745,0.820,0.746,0.616
706.sql,4.951,5.737,5.109,4.974
707.sql,0.186,0.181,0.177,0.172
708.sql,0.149,0.199,0.152,0.189
709.sql,0.233,0.176,0.211,0.232
710.sql,0.105,0.104,0.112,0.099
711.sql,0.171,0.166,0.197,0.197
712.sql,7.629,6.642,6.632,6.309
713.sql,0.608,0.644,0.574,0.645
714.sql,2.735,2.092,2.058,2.065
715.sql,6.842,6.795,6.365,7.735
716.sql,0.724,0.691,0.670,0.636
717.sql,0.682,0.648,0.466,0.453
718.sql,0.125,0.105,0.093,0.121
719.sql,0.197,0.215,0.211,0.171
720.sql,0.181,0.202,0.181,0.207
721.sql,0.140,0.119,0.144,0.148
722.sql,0.140,0.141,0.153,0.159
725.sql,0.242,0.315,0.334,0.250
726.sql,0.292,0.416,0.315,0.334
727.sql,0.489,0.640,0.648,0.642
728.sql,123.399,120.237,120.403,121.776
729.sql,0.097,0.135,0.136,0.133
730.sql,3.096,3.132,2.949,2.387
731.sql,0.082,0.069,0.067,0.065
732.sql,0.145,0.091,0.141,0.190
733.sql,10.790,9.546,10.764,10.468
734.sql,0.611,0.645,0.526,0.508
735.sql,0.871,0.890,0.764,0.679
736.sql,0.195,0.191,0.221,0.214
737.sql,0.610,0.549,0.571,0.597
738.sql,1.264,1.320,1.681,1.617
739.sql,0.769,0.747,0.667,0.748
740.sql,8.488,9.895,10.792,8.808
741.sql,0.666,0.697,0.591,0.691
742.sql,0.171,0.184,0.173,0.178
743.sql,0.238,0.187,0.163,0.202
744.sql,48.674,50.360,48.761,47.214
745.sql,0.096,0.095,0.092,0.095
746.sql,4.187,5.118,4.802,4.514
747.sql,0.228,0.253,0.192,0.263
748.sql,0.161,0.155,0.170,0.166
749.sql,0.185,0.180,0.180,0.141
750.sql,92.193,87.661,90.970,94.152
751.sql,0.413,0.417,0.352,0.378
753.sql,0.717,0.820,0.734,0.732
754.sql,0.107,0.106,0.105,0.108
755.sql,0.872,0.713,0.497,0.679
756.sql,0.232,0.233,0.224,0.232
757.sql,0.094,0.084,0.103,0.118
758.sql,0.644,0.651,0.617,0.637
759.sql,0.201,0.197,0.176,0.174
760.sql,0.614,0.639,0.797,0.751
761.sql,35.872,36.992,34.879,37.925
762.sql,0.048,0.066,0.066,0.069
763.sql,0.910,0.808,0.901,0.763
764.sql,0.629,0.546,0.541,0.537
765.sql,0.271,0.182,0.220,0.245
766.sql,0.058,0.061,0.060,0.066
768.sql,0.632,0.710,0.680,0.750
769.sql,0.100,0.124,0.099,0.081
770.sql,0.159,0.127,0.143,0.149
771.sql,0.649,0.659,0.662,0.703
772.sql,0.222,0.194,0.181,0.188
773.sql,0.062,0.062,0.061,0.061
774.sql,0.099,0.096,0.064,0.094
775.sql,0.199,0.213,0.197,0.197
776.sql,0.974,0.791,1.069,0.802
777.sql,2.764,2.976,2.437,2.793
778.sql,0.289,0.272,0.304,0.308
779.sql,1.842,2.059,2.105,1.942
780.sql,0.056,0.066,0.070,0.065
781.sql,0.183,0.214,0.209,0.197
782.sql,1.843,1.736,1.506,2.060
784.sql,0.664,0.664,0.595,0.599
785.sql,6.111,5.915,6.460,6.108
786.sql,0.064,0.104,0.113,0.111
787.sql,0.564,0.545,0.607,0.607
788.sql,0.137,0.146,0.137,0.140
790.sql,0.348,0.369,0.358,0.348
791.sql,0.788,0.804,0.719,0.803
792.sql,0.151,0.155,0.158,0.154
794.sql,2.690,2.649,2.151,2.447
795.sql,0.610,0.696,0.672,0.675
796.sql,0.289,0.251,0.230,0.286
797.sql,0.125,0.117,0.118,0.122
798.sql,0.156,0.193,0.167,0.186
799.sql,0.955,0.927,1.000,1.003
800.sql,0.601,0.612,0.531,0.617
801.sql,0.548,0.455,0.549,0.496
803.sql,0.066,0.063,0.061,0.067
804.sql,0.708,0.756,0.753,0.763
806.sql,0.306,0.342,0.305,0.357
807.sql,29.243,31.272,29.776,31.954
808.sql,5.659,5.592,5.395,5.833
809.sql,0.925,0.888,0.800,0.915
810.sql,1.202,1.124,1.112,1.244
811.sql,0.196,0.194,0.195,0.175
812.sql,52.429,49.681,50.408,49.683
813.sql,0.200,0.223,0.177,0.136
814.sql,0.120,0.140,0.134,0.123
815.sql,11.716,12.508,10.554,12.234
816.sql,0.068,0.062,0.060,0.068
817.sql,0.566,0.557,0.620,0.510
818.sql,1.826,1.678,1.585,1.455
819.sql,17.357,16.767,17.282,18.641
820.sql,0.214,0.187,0.192,0.199
821.sql,0.791,0.560,0.654,0.612
822.sql,0.863,0.846,0.850,0.765
823.sql,2.972,2.900,3.032,3.076
824.sql,257.035,246.313,251.212,248.795
825.sql,0.147,0.155,0.161,0.160
829.sql,6.440,6.410,6.495,6.518
830.sql,0.124,0.120,0.108,0.119
831.sql,37.824,35.802,36.669,37.334
832.sql,0.247,0.246,0.246,0.250
833.sql,0.144,0.147,0.145,0.139
834.sql,17.326,15.081,14.463,16.899
835.sql,0.580,0.580,0.501,0.526
836.sql,20.062,20.211,20.972,21.086
837.sql,50.787,55.140,53.822,54.104
838.sql,0.167,0.147,0.172,0.162
839.sql,1.170,1.195,0.971,1.190
840.sql,6.150,6.060,5.031,5.888
842.sql,0.528,0.521,0.520,0.520
843.sql,4.982,2.803,4.970,4.973
844.sql,0.741,0.750,0.746,0.743
845.sql,0.187,0.162,0.174,0.153
846.sql,3.027,3.086,3.240,3.277
848.sql,1.785,2.015,1.681,1.688
849.sql,0.231,0.255,0.229,0.231
850.sql,0.635,0.629,0.634,0.648
851.sql,1.591,1.567,1.577,1.570
852.sql,1.247,1.247,1.247,1.251
853.sql,0.196,0.200,0.190,0.189
854.sql,0.128,0.129,0.132,0.137
855.sql,1.422,1.438,1.423,1.469
856.sql,0.190,0.190,0.189,0.188
857.sql,0.839,0.842,0.842,0.841
859.sql,0.844,0.759,0.534,0.534
